test,failed_bearing,feature_source,files,shutdown_files_dropped,rule_k,rule_m,target_far,score_threshold,alarm_file,alarm_time,anchor_file,anchor_time,lead_hours,heldout_healthy_files,heldout_healthy_hours,heldout_false_alarms,healthy_region_ok
1,Bearing3,enriched,2156,0,3,5,0.01,-0.153199,1830,2003-11-22 16:06:56,2155,2003-11-25 23:39:56,79.5,323,164.9,0,True
2,Bearing1,enriched,984,2,3,5,0.01,-0.138358,659,2004-02-17 00:22:39,981,2004-02-19 06:02:39,53.7,147,24.3,0,True
3,Bearing3,enriched,6324,1,4,5,0.01,-0.202523,5980,2004-04-15 17:32:55,6322,2004-04-18 02:32:55,57.0,949,165.3,0,True
1,Bearing3,log,2156,0,3,5,0.01,-0.139333,1830,2003-11-22 16:06:56,2155,2003-11-25 23:39:56,79.5,323,164.9,0,True
2,Bearing1,log,984,2,3,5,0.01,-0.137559,658,2004-02-17 00:12:39,981,2004-02-19 06:02:39,53.8,147,24.3,0,True
3,Bearing3,log,6324,1,3,5,0.01,-0.203626,5992,2004-04-15 19:32:55,6322,2004-04-18 02:32:55,55.0,949,165.3,0,True
1,Bearing3,psd,2156,0,4,5,0.01,-0.177708,1830,2003-11-22 16:06:56,2155,2003-11-25 23:39:56,79.5,323,164.9,0,True
2,Bearing1,psd,984,2,3,5,0.01,-0.123586,655,2004-02-16 23:42:39,981,2004-02-19 06:02:39,54.3,147,24.3,0,True
3,Bearing3,psd,6324,1,3,5,0.01,-0.183737,6018,2004-04-15 23:52:55,6322,2004-04-18 02:32:55,50.7,949,165.3,0,True
1,Bearing3,psd_enriched,2156,0,4,5,0.01,-0.202256,2133,2003-11-25 13:07:32,2155,2003-11-25 23:39:56,10.5,323,164.9,0,True
2,Bearing1,psd_enriched,984,2,3,5,0.01,-0.207326,702,2004-02-17 07:32:39,981,2004-02-19 06:02:39,46.5,147,24.3,0,True
3,Bearing3,psd_enriched,6324,1,4,5,0.01,-0.156673,5975,2004-04-15 16:42:55,6322,2004-04-18 02:32:55,57.8,949,165.3,0,True
1,Bearing3,envelope,2156,0,3,5,0.01,-0.136432,1829,2003-11-22 15:56:56,2155,2003-11-25 23:39:56,79.7,323,164.9,0,True
2,Bearing1,envelope,984,2,3,5,0.01,-0.14786,659,2004-02-17 00:22:39,981,2004-02-19 06:02:39,53.7,147,24.3,0,True
3,Bearing3,envelope,6324,1,3,5,0.01,-0.156408,5971,2004-04-15 16:02:55,6322,2004-04-18 02:32:55,58.5,949,165.3,0,True
